PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Weber, Lukas M.; Saelens, Wouter; Cannoodt, Robrecht; Soneson, Charlotte; Hapfelmeier, Alexander; Gardner, Paul P.; Boulesteix, Anne-Laure; Saeys, Yvan; Robinson, Mark D.								Essential guidelines for computational method benchmarking								GENOME BIOLOGY				20						125	10.1186/s13059-019-1738-8			JUN 20 2019	2019										3							WOS:000472508100001		
J	Korthauer, Keegan; Kimes, Patrick K.; Duvallet, Claire; Reyes, Alejandro; Subramanian, Ayshwarya; Teng, Mingxiang; Shukla, Chinmay; Alm, Eric J.; Hicks, Stephanie C.								A practical guide to methods controlling false discoveries in computational biology								GENOME BIOLOGY				20						118	10.1186/s13059-019-1716-1			JUN 4 2019	2019										4							WOS:000470326700001		
